epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1519.22,1.48498,1.5067,1.48649,0.85822,0.80135,0.85926,0.5015,1.4126,0.76654,1.44763,0.00166675,0.000555583,0.00166675,0.000555583,0.00166675,0.000555583,0.00166675,0.000555583
2,2454.37,1.25193,0.81438,1.26172,0.88655,0.83821,0.90035,0.53428,1.38954,0.6715,1.42361,0.00267367,0.000891222,0.00267367,0.000891222,0.00267367,0.000891222,0.00267367,0.000891222
3,3320.7,1.20818,0.74884,1.22961,0.90218,0.84211,0.91011,0.55422,1.34261,0.64101,1.36265,0.00302045,0.00100682,0.00302045,0.00100682,0.00302045,0.00100682,0.00302045,0.00100682
4,4165.75,1.17063,0.70052,1.20455,0.90623,0.86318,0.91596,0.56656,1.32673,0.60685,1.35838,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
5,5008.76,1.11664,0.63162,1.17102,0.92301,0.86105,0.92435,0.57889,1.30756,0.58476,1.34373,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
