epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1016.62,1.48264,1.57987,1.5279,0.88075,0.78667,0.86351,0.50584,1.40995,0.76856,1.50098,0.0016666,0.000555533,0.0016666,0.000555533,0.0016666,0.000555533,0.0016666,0.000555533
2,1783.28,1.23339,0.78843,1.27547,0.90325,0.82208,0.89187,0.53136,1.40274,0.69214,1.48919,0.00267355,0.000891182,0.00267355,0.000891182,0.00267355,0.000891182,0.00267355,0.000891182
3,2481.93,1.19478,0.72347,1.23946,0.89552,0.83535,0.90019,0.54435,1.36462,0.66541,1.40591,0.00302036,0.00100679,0.00302036,0.00100679,0.00302036,0.00100679,0.00302036,0.00100679
4,3160.44,1.14391,0.66721,1.1931,0.91539,0.84547,0.91824,0.56976,1.3084,0.61329,1.3675,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
5,3838.72,1.08069,0.60423,1.16497,0.90756,0.86944,0.92767,0.58342,1.29699,0.57365,1.34635,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
